estimator,model,subset,feat_type,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,best_score_inner,tn,fp,fn,tp
svm,bis_quatro__A,bis_quatro,A,7,27,1,0.5555555555555556,0.5384615384615384,0.7472527472527473,0.5936089970406476,14.0,0.0,12.0,1.0
svm,bis_quatro__A,bis_quatro,A,8,25,1,0.96,0.9545454545454546,1.0,0.55379989015837,14.0,0.0,1.0,10.0
svm,bis_quatro__A,bis_quatro,A,9,25,1,0.88,0.8831168831168831,0.974025974025974,0.5586122140291171,12.0,2.0,1.0,10.0
svm,bis_quatro__A,bis_quatro,A,10,24,1,0.5833333333333334,0.6153846153846154,0.6433566433566433,0.5765200010804095,3.0,10.0,0.0,11.0
svm,bis_quatro__B,bis_quatro,B,1,32,1,0.375,0.37254901960784315,0.34901960784313724,0.5348748473748474,5.0,10.0,10.0,7.0
svm,bis_quatro__B,bis_quatro,B,2,30,1,0.6333333333333333,0.6160714285714286,0.6116071428571428,0.43940911297689517,5.0,9.0,2.0,14.0
svm,bis_quatro__B,bis_quatro,B,3,29,1,0.3793103448275862,0.38095238095238093,0.3714285714285714,0.5066485005509396,5.0,10.0,8.0,6.0
svm,bis_quatro__B,bis_quatro,B,4,28,1,0.35714285714285715,0.35714285714285715,0.3673469387755102,0.501823190989385,7.0,7.0,11.0,3.0
svm,bis_quatro__B,bis_quatro,B,5,28,1,0.4642857142857143,0.4642857142857143,0.5204081632653061,0.5096286300200084,7.0,7.0,8.0,6.0
svm,bis_quatro__B,bis_quatro,B,6,28,1,0.35714285714285715,0.35714285714285715,0.3724489795918367,0.5347190623707924,7.0,7.0,11.0,3.0
svm,bis_quatro__B,bis_quatro,B,7,27,1,0.48148148148148145,0.4807692307692308,0.4670329670329671,0.509987727656474,7.0,7.0,7.0,6.0
svm,bis_quatro__B,bis_quatro,B,8,25,1,0.48,0.4967532467532467,0.48701298701298695,0.5185897955325068,5.0,9.0,4.0,7.0
svm,bis_quatro__B,bis_quatro,B,9,25,1,0.48,0.4675324675324675,0.5714285714285714,0.4873051886665046,8.0,6.0,7.0,4.0
svm,bis_quatro__B,bis_quatro,B,10,24,1,0.7083333333333334,0.7097902097902098,0.8601398601398601,0.4486017700708569,9.0,4.0,3.0,8.0
