estimator,model,subset,feat_type,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,best_score_inner,tn,fp,fn,tp
svm,bis_quatro__C,bis_quatro,C,1,32,1,0.53125,0.5392156862745098,0.5999999999999999,0.6605489417989417,10.0,5.0,10.0,7.0
svm,bis_quatro__C,bis_quatro,C,2,30,1,0.5666666666666667,0.5401785714285714,0.44642857142857145,0.6449267925561029,2.0,12.0,1.0,15.0
svm,bis_quatro__C,bis_quatro,C,3,29,1,0.27586206896551724,0.2857142857142857,0.2380952380952381,0.6813506350213446,0.0,15.0,6.0,8.0
svm,bis_quatro__C,bis_quatro,C,4,28,1,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.6785436309444766,5.0,9.0,2.0,12.0
svm,bis_quatro__C,bis_quatro,C,5,28,1,0.5,0.5,0.9591836734693877,0.650013487484715,0.0,14.0,0.0,14.0
svm,bis_quatro__C,bis_quatro,C,6,28,1,0.42857142857142855,0.4285714285714286,0.41326530612244894,0.6522779181858018,2.0,12.0,4.0,10.0
svm,bis_quatro__C,bis_quatro,C,7,27,1,0.5185185185185185,0.5,0.8956043956043955,0.6464918472590222,14.0,0.0,13.0,0.0
svm,bis_quatro__C,bis_quatro,C,8,25,1,0.96,0.9545454545454546,1.0,0.6238599324701091,14.0,0.0,1.0,10.0
svm,bis_quatro__C,bis_quatro,C,9,25,1,0.96,0.9642857142857143,0.9935064935064936,0.6289700189773781,13.0,1.0,0.0,11.0
svm,bis_quatro__C,bis_quatro,C,10,24,1,0.5,0.5244755244755245,0.6923076923076923,0.6703375647341164,3.0,10.0,2.0,9.0
svm,both_lateral__A,both_lateral,A,1,32,1,0.71875,0.7117647058823529,0.8549019607843137,0.6651785714285714,9.0,6.0,3.0,14.0
svm,both_lateral__A,both_lateral,A,2,30,1,0.7,0.6785714285714286,0.9107142857142857,0.6902823389892355,5.0,9.0,0.0,16.0
svm,both_lateral__A,both_lateral,A,3,29,1,0.6896551724137931,0.6952380952380952,0.7047619047619047,0.6865984581114501,8.0,7.0,2.0,12.0
svm,both_lateral__A,both_lateral,A,4,28,1,0.6428571428571429,0.6428571428571428,0.8010204081632653,0.7083054186021076,12.0,2.0,8.0,6.0
svm,both_lateral__A,both_lateral,A,5,28,1,0.42857142857142855,0.42857142857142855,0.2755102040816326,0.777527503987986,0.0,14.0,2.0,12.0
svm,both_lateral__A,both_lateral,A,6,28,1,0.5357142857142857,0.5357142857142857,0.5765306122448979,0.7175735558291111,11.0,3.0,10.0,4.0
svm,both_lateral__A,both_lateral,A,7,27,1,0.5185185185185185,0.5,0.9010989010989011,0.7328192880224109,14.0,0.0,13.0,0.0
svm,both_lateral__A,both_lateral,A,8,25,1,0.96,0.9545454545454546,1.0,0.6680965166036654,14.0,0.0,1.0,10.0
svm,both_lateral__A,both_lateral,A,9,25,1,0.8,0.8214285714285714,1.0,0.7057723692763642,9.0,5.0,0.0,11.0
svm,both_lateral__A,both_lateral,A,10,24,1,0.6666666666666666,0.6363636363636364,0.5664335664335665,0.7114950423140078,13.0,0.0,8.0,3.0
svm,both_lateral__B,both_lateral,B,1,32,1,0.46875,0.5,0.5490196078431372,0.5,15.0,0.0,17.0,0.0
svm,both_lateral__B,both_lateral,B,2,30,1,0.4,0.3973214285714286,0.3794642857142857,0.47934911512497724,5.0,9.0,9.0,7.0
svm,both_lateral__B,both_lateral,B,3,29,1,0.3793103448275862,0.38095238095238093,0.38095238095238093,0.5099011151020247,5.0,10.0,8.0,6.0
